ego_id,alter_id,Weight,Relationship (which includes neutral or adversary classifications)
1,2,3,Non-Ally
1,3,4,Ally
1,4,4,Ally
1,5,3,Ally
1,6,5,Ally
1,7,4,Ally
1,8,3,Ally
1,9,2,Non-Ally
1,10,5,Ally
1,11,2,Non-Ally
1,12,1,Non-Ally
1,13,4,Ally
1,14,4,Ally
1,15,2,Ally
1,16,3,Non-Ally
1,17,1,Non-Ally
2,1,2,Non-Ally
2,3,3,Non-Ally
2,4,3,Non-Ally
2,5,2,Non-Ally
2,6,3,Non-Ally
2,7,3,Non-Ally
2,8,3,Non-Ally
2,9,3,Non-Ally
2,10,3,Non-Ally
2,11,3,Non-Ally
2,12,3,Non-Ally
2,13,4,Non-Ally
2,14,2,Non-Ally
2,15,3,Non-Ally
2,16,3,Non-Ally
2,17,4,Ally
3,1,4,Ally
3,2,3,Non-Ally
3,4,4,Ally
3,5,3,Non-Ally
3,6,4,Ally
3,7,4,Ally
3,8,3,Ally
3,9,3,Non-Ally
3,10,4,Ally
3,11,3,Non-Ally
3,12,2,Non-Ally
3,13,4,Ally
3,14,3,Non-Ally
3,15,3,Non-Ally
3,16,3,Non-Ally
3,17,2,Non-Ally
4,1,5,Ally
4,2,2,Non-Ally
4,3,4,Ally
4,5,4,Ally
4,6,4,Ally
4,7,4,Ally
4,8,3,Non-Ally
4,9,3,Non-Ally
4,10,5,Ally
4,11,3,Non-Ally
4,12,2,Non-Ally
4,13,5,Ally
4,14,4,Ally
4,15,3,Non-Ally
4,16,3,Non-Ally
4,17,2,Non-Ally
5,1,3,Ally
5,2,2,Non-Ally
5,3,3,Non-Ally
5,4,4,Ally
5,6,3,Non-Ally
5,7,3,Non-Ally
5,8,2,Non-Ally
5,9,3,Non-Ally
5,10,3,Non-Ally
5,11,3,Non-Ally
5,12,2,Non-Ally
5,13,4,Ally
5,14,4,Ally
5,15,3,Non-Ally
5,16,3,Non-Ally
5,17,1,Non-Ally
6,1,5,Ally
6,2,2,Non-Ally
6,3,4,Ally
6,4,4,Ally
6,5,4,Ally
6,7,4,Ally
6,8,3,Non-Ally
6,9,3,Non-Ally
6,10,5,Ally
